INSTRUMENT,REF_THEO,REF_UNDERLYING_PRICE,DELTA,GAMMA
E1AK2 C4535,13.8844249,4422.75,0.1831646,0.0017786
E1AK2 C4540,12.706278,4422.75,0.1704337,0.0017131
E1AK2 C4545,11.605508,4422.75,0.1581736,0.0016362
E1AK2 C4550,10.5806122,4422.75,0.1464265,0.0015568
E1AK2 C4555,9.6276969,4422.75,0.135203,0.0014756
E1AK2 C4560,8.7432038,4422.75,0.1245118,0.0013931
E1AK2 C4565,7.9248997,4422.75,0.114369,0.0013101
E1AK2 C4570,7.1707114,4422.75,0.1047898,0.0012273
E1AK2 C4575,6.4770814,4422.75,0.0957733,0.0011453
E1AK2 C4580,5.8391751,4422.75,0.0873023,0.0010645
E1AK2 C4585,5.2567375,4422.75,0.079399,0.0009858
E1AK2 C4590,4.7244653,4422.75,0.0720345,0.0009093
E1AK2 C4595,4.2399742,4422.75,0.065193,0.0008397
E1AK2 C4600,3.8004095,4422.75,0.058841,0.0007732
E1AK2 C4605,3.4023203,4422.75,0.0529626,0.0007089
E1AK2 C4610,3.0425297,4422.75,0.047542,0.0006473
E1AK2 C4615,2.7180271,4422.75,0.0425615,0.0005885
E1AK2 C4620,2.4272186,4422.75,0.0380162,0.0005329
E1AK2 C4625,2.1666835,4422.75,0.0338779,0.0004806
E1AK2 C4630,1.933816,4422.75,0.0301243,0.0004317
E1AK2 C4635,1.7249196,4422.75,0.0267174,0.0003863
E1AK2 C4640,1.538101,4422.75,0.0236384,0.0003442
E1AK2 C4645,1.3767394,4422.75,0.0209298,0.0003062
E1AK2 C4650,1.2288976,4422.75,0.0184492,0.0002703
E1AK2 C4655,1.0934044,4422.75,0.016201,0.0002342
E1AK2 C4660,0.9774293,4422.75,0.0142755,0.0002031
E1AK2 C4665,0.873679,4422.75,0.012575,0.0001759
E1AK2 C4670,0.7805629,4422.75,0.0110711,0.000152
E1AK2 C4675,0.6976873,4422.75,0.0097505,0.0001312
E1AK2 C4680,0.6240036,4422.75,0.0085929,0.0001131
E1AK2 C4685,0.5582191,4422.75,0.0075757,0.0000975
E1AK2 C4690,0.5004697,4422.75,0.006694,0.0000841
E1AK2 C4695,0.4465836,4422.75,0.0058933,0.0000722
E1AK2 C4700,0.3979828,4422.75,0.0051851,0.0000619
E1AK2 C4705,0.3537489,4422.75,0.0045543,0.0000529
E1AK2 C4710,0.3136575,4422.75,0.0039942,0.0000452
E1AK2 C4715,0.2767001,4422.75,0.0034896,0.0000384
E1AK2 C4720,0.2433944,4422.75,0.0030434,0.0000325
E1AK2 C4725,0.2135093,4422.75,0.00265,0.0000275
E1AK2 C4730,0.1889316,4422.75,0.0023286,0.0000234
E1AK2 C4735,0.1665906,4422.75,0.0020419,0.0000199
E1AK2 C4740,0.1461064,4422.75,0.0017839,0.0000169
E1AK2 C4745,0.1311651,4422.75,0.0015876,0.0000158
E1AK2 C4750,0.1196463,4422.75,0.0014246,0.0000146
E1AK2 C4755,0.109883,4422.75,0.0012789,0.0000133
E1AK2 C4760,0.100964,4422.75,0.0011423,0.000012
E1AK2 C4765,0.0932809,4422.75,0.0010207,0.0000107
E1AK2 C4770,0.0869495,4422.75,0.0009161,0.0000095
E1AK2 C4775,0.0810713,4422.75,0.0008196,0.0000083
E1AK2 C4780,0.0761919,4422.75,0.0007369,0.0000073
E1AK2 C4785,0.0719316,4422.75,0.0006645,0.0000063
E1AK2 C4790,0.0684074,4422.75,0.000603,0.0000055
E1AK2 C4795,0.0640842,4422.75,0.0005377,0.0000046
E1AK2 C4800,0.0616172,4422.75,0.0004946,0.000004
E1AK2 C4805,0.0592786,4422.75,0.0004568,0.0000034
