instrument,average_theo
E1CK2 C3895,532.7756
E1CK2 C3900,527.8431
E1CK2 C3905,522.9128
E1CK2 C3910,517.9849
E1CK2 C3915,513.0594
E1CK2 C3920,508.1373
E1CK2 C3925,503.2177
E1CK2 C3930,498.3020
E1CK2 C3935,493.3889
E1CK2 C3940,488.4790
E1CK2 C3945,483.5724
E1CK2 C3950,478.6691
E1CK2 C3955,473.7695
E1CK2 C3960,468.8733
E1CK2 C3965,463.9812
E1CK2 C3970,459.0927
E1CK2 C3975,454.2089
E1CK2 C3980,449.3293
E1CK2 C3985,444.4543
E1CK2 C3990,439.5842
E1CK2 C3995,434.7190
E1CK2 C4000,429.8591
E1CK2 C4005,425.0047
E1CK2 C4010,420.1562
E1CK2 C4015,415.3134
E1CK2 C4020,410.4771
E1CK2 C4025,405.6476
E1CK2 C4030,400.8250
E1CK2 C4035,396.0095
E1CK2 C4040,391.2018
E1CK2 C4045,386.4020
E1CK2 C4050,381.6102
E1CK2 C4055,376.8270
E1CK2 C4060,372.0527
E1CK2 C4065,367.2878
E1CK2 C4070,362.5250
E1CK2 C4075,357.7698
E1CK2 C4080,353.0258
E1CK2 C4085,348.2913
E1CK2 C4090,343.5674
E1CK2 C4095,338.8539
E1CK2 C4100,334.1517
E1CK2 C4105,329.4606
E1CK2 C4110,324.7806
E1CK2 C4115,320.1126
E1CK2 C4120,315.4565
E1CK2 C4125,310.8125
E1CK2 C4130,306.1813
E1CK2 C4135,301.5636
E1CK2 C4140,296.9589
E1CK2 C4145,292.3676
E1CK2 C4150,287.7898
E1CK2 C4155,283.2270
E1CK2 C4160,278.6786
E1CK2 C4165,274.1450
E1CK2 C4170,269.6272
E1CK2 C4175,265.1254
E1CK2 C4180,260.6398
E1CK2 C4185,256.1714
E1CK2 C4190,251.7174
E1CK2 C4195,247.2833
E1CK2 C4200,242.8669
E1CK2 C4205,238.4691
E1CK2 C4210,234.0893
E1CK2 C4215,229.7289
E1CK2 C4220,225.3891
E1CK2 C4225,221.0685
E1CK2 C4230,216.7683
E1CK2 C4235,212.4892
E1CK2 C4240,208.2326
E1CK2 C4245,203.9980
E1CK2 C4250,199.7840
E1CK2 C4255,195.5931
E1CK2 C4260,191.4285
E1CK2 C4265,187.2894
E1CK2 C4270,183.1746
E1CK2 C4275,179.0849
E1CK2 C4280,175.0223
E1CK2 C4285,170.9880
E1CK2 C4290,166.9814
E1CK2 C4295,163.0038
E1CK2 C4300,159.0584
E1CK2 C4305,155.1403
E1CK2 C4310,151.2532
E1CK2 C4315,147.3972
E1CK2 C4320,143.5733
E1CK2 C4325,139.7823
E1CK2 C4330,136.0252
E1CK2 C4335,132.3023
E1CK2 C4340,128.6140
E1CK2 C4345,124.9614
E1CK2 C4350,121.3459
E1CK2 C4355,117.7698
E1CK2 C4360,114.2359
E1CK2 C4365,110.7377
E1CK2 C4370,107.2740
E1CK2 C4375,103.8467
E1CK2 C4380,100.4557
E1CK2 C4385,97.1019
E1CK2 C4390,93.7878
E1CK2 C4395,90.5128
E1CK2 C4400,87.2780
E1CK2 C4405,84.0846
E1CK2 C4410,80.9335
E1CK2 C4415,77.8268
E1CK2 C4420,74.7655
E1CK2 C4425,71.7621
E1CK2 C4430,68.8246
E1CK2 C4435,65.9400
E1CK2 C4440,63.1109
E1CK2 C4445,60.3384
E1CK2 C4450,57.6238
E1CK2 C4455,54.9685
E1CK2 C4460,52.3746
E1CK2 C4465,49.8437
E1CK2 C4470,47.3765
E1CK2 C4475,44.9729
E1CK2 C4480,42.6402
E1CK2 C4485,40.3724
E1CK2 C4490,38.1746
E1CK2 C4495,36.0514
E1CK2 C4500,33.9988
E1CK2 C4505,32.0181
E1CK2 C4510,30.1097
E1CK2 C4515,28.2744
E1CK2 C4520,26.5125
E1CK2 C4525,24.8230
E1CK2 C4530,23.2062
E1CK2 C4535,21.6622
E1CK2 C4540,20.1909
E1CK2 C4545,18.7906
